num_bellpairs,cnot_err_prob,meas_err_prob,coherence_time,fidelity_mean,fidelity_std,fidelity_analytical
10000,0.0,0.0,0,1.0,0.0,1.0
10000,0.0,0.025,0,0.9497824333333333,0.005275011903198788,0.9506249999999999
10000,0.0,0.05,0,0.9043796000000001,0.006151261424022458,0.9025
10000,0.0,0.075,0,0.8586939666666666,0.00874236985598807,0.8556250000000001
10000,0.0,0.1,0,0.8132127666666666,0.008642901436760442,0.81
10000,0.0,0.125,0,0.7689478666666665,0.008871162429405118,0.765625
10000,0.0,0.15,0,0.7254758,0.00997551573069449,0.7224999999999999
10000,0.0,0.175,0,0.6840166333333334,0.009376486557637446,0.6806249999999999
10000,0.0,0.2,0,0.6441262000000001,0.009554171177728263,0.6400000000000001
10000,0.0,0.225,0,0.6056804333333333,0.010313868645932789,0.6006250000000001
10000,0.0,0.25,0,0.5687116666666667,0.01127728113608161,0.5625
10000,0.0,0.275,0,0.5316999666666666,0.012126320064178124,0.525625
10000,0.0,0.3,0,0.4962121333333333,0.012965440832544889,0.48999999999999994
10000,0.0,0.325,0,0.46183473333333336,0.011228030827452436,0.45562500000000006
10000,0.0,0.35,0,0.4291354333333333,0.010854524852746388,0.42250000000000004
10000,0.0,0.375,0,0.3963609333333333,0.009717051380377118,0.390625
10000,0.0,0.4,0,0.3645924333333333,0.0109065707433129,0.36
10000,0.0,0.425,0,0.33398973333333337,0.012315720779917383,0.33062499999999995
10000,0.0,0.45,0,0.30501243333333333,0.01234832246011129,0.30250000000000005
10000,0.0,0.475,0,0.2779223333333333,0.012273340708851669,0.275625
10000,0.0,0.5,0,0.25290039999999997,0.013684481299632805,0.25
10000,0.0,0.525,0,0.23035823333333333,0.014219549572527095,0.225625
10000,0.0,0.55,0,0.2058671666666667,0.014089555115009447,0.20249999999999996
10000,0.0,0.575,0,0.18390976666666667,0.013781780445412544,0.18062500000000004
10000,0.0,0.6,0,0.1637964666666667,0.01368493846712103,0.16000000000000003
10000,0.0,0.625,0,0.14345294999999997,0.014129788329595269,0.140625
10000,0.0,0.65,0,0.12474818333333335,0.015908623693332357,0.12249999999999998
10000,0.0,0.675,0,0.10844368666666668,0.014594420730236455,0.10562499999999997
10000,0.0,0.7,0,0.09221269666666666,0.014566198224324775,0.09000000000000002
10000,0.0,0.725,0,0.07747876000000001,0.015066740568165364,0.07562500000000001
10000,0.0,0.75,0,0.06420903333333335,0.013743000265573582,0.0625
10000,0.0,0.775,0,0.05200534333333332,0.013160554837434559,0.05062499999999999
10000,0.0,0.8,0,0.04218549333333333,0.01200435894039976,0.03999999999999998
10000,0.0,0.825,0,0.03177526817666667,0.012813842293746809,0.030625000000000017
10000,0.0,0.85,0,0.024298176599999995,0.011253758468040054,0.022500000000000006
10000,0.0,0.875,0,0.018026771333333327,0.01073489540991395,0.015625
10000,0.0,0.9,0,0.013456103333333332,0.01019379231696112,0.009999999999999995
10000,0.0,0.925,0,0.007142207413333333,0.008484473506041834,0.005624999999999994
10000,0.0,0.95,0,0.0033635476,0.006512346829487543,0.0025000000000000044
10000,0.0,0.975,0,0.00095281911,0.004647032833835839,0.0006250000000000011
10000,0.0,1.0,0,0.0,0.0,0.0
10000,0.023438,0.0,0,0.9822974999999999,0.003394707751289742,0.9812496
10000,0.046875,0.0,0,0.9638344666666667,0.004762651829484168,0.9625
10000,0.070313,0.0,0,0.9442831333333331,0.004784322548583948,0.9437496000000001
10000,0.09375,0.0,0,0.9252021666666665,0.005847871145886236,0.925
10000,0.117188,0.0,0,0.9067826666666666,0.005643259208018785,0.9062496
10000,0.140625,0.0,0,0.8865990000000001,0.006440321798378305,0.8875
10000,0.164063,0.0,0,0.8689605999999997,0.007405626080217662,0.8687496
10000,0.1875,0.0,0,0.8480496999999999,0.008564909445522467,0.85
10000,0.210938,0.0,0,0.8317498666666666,0.00804315065022546,0.8312496
10000,0.234375,0.0,0,0.8142928999999999,0.009073946981514345,0.8125
10000,0.257812,0.0,0,0.7931737666666666,0.007888419962972444,0.7937504000000001
10000,0.28125,0.0,0,0.7732629000000001,0.00837645994976398,0.775
10000,0.304688,0.0,0,0.7552492000000001,0.008778431843254617,0.7562496
10000,0.328125,0.0,0,0.7367022333333332,0.0097253052589052,0.7375
10000,0.351562,0.0,0,0.7181694999999998,0.009218883622760403,0.7187504
10000,0.375,0.0,0,0.6980723666666667,0.010787401746121361,0.7
10000,0.398438,0.0,0,0.6790982666666667,0.01097050240701047,0.6812495999999999
